timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597332187850,5416,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332187850,60316,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332187850,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332188854,5429,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332188854,60212,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332188854,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332189863,3447,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332189863,60206,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332189863,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332190870,2750,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332190870,59564,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332190870,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332191882,3075,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332191882,59563,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332191882,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332192897,1550,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332192897,59509,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332192897,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332193909,1132,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332193909,59232,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332193909,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332194919,1574,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332194919,59173,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332194919,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332195930,2351,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332195930,58528,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332195930,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332196944,393,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332196944,58472,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332196944,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332197956,1156,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332197956,58468,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332197956,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332198970,1157,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332198970,58462,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332198970,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332199982,3075,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332199982,58461,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332199982,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332200996,1968,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332200996,58377,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332200996,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332202004,5738,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332202004,58378,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332202004,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332203014,7105,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332203014,58376,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332203014,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332204026,793,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332204026,58405,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332204026,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332205035,2325,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332205035,58527,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332205035,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332206046,2312,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332206046,58526,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332206046,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332207056,4210,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332207056,58531,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332207056,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332208069,787,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332208069,58531,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332208069,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332209081,1919,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
1597332209081,58528,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,0,0
1597332209081,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1597332210090,1550,localhost CPU user,,,,,true,,0,0,0,0,null,0,0,0
